constituency,district,votes_polled,winner_candidate,winner_party,winner_votes,winner_votes_diff_from_runner,runner_candidate,runner_party,runner_votes,runner_votes_diff_from_winner,second_runner,second_runner_party,second_runner_votes,second_runner_diff_from_winner,third_runner,third_runner_party,third_runner_votes,third_runner_diff_from_winner
Tiruttani,,238798,G.HARI,ADMK,89169,5793,M.SATHYA KUMAR,TVK,83376,-5793,D.KRISHNAMURTHY,DMDK,54863,-34306,CHANDRAN .S.S,NTK,6704,-82465
Tiruvadanai,,220278,RAJEEV,TVK,69551,2513,RM. KARUMANICKAM,INC,67038,-2513,M.KEERTHIKA,ADMK,63879,-5672,N PREMNATH,NTK,13389,-56162
Tiruvannamalai,,220066,VELU. E.V,DMK,88273,2455,ARUL ARUMUGAM,TVK,85818,-2455,ELUMALAI. C,BJP,34280,-53993,VIGNESH. S,NTK,6011,-82262
Tittakudi,,175754,GANESAN C.V,DMK,63106,2629,RAJASEKAR A,TVK,60477,-2629,MURUGUMARAN N,ADMK,42502,-20604,MAHALAKSHMI V,NTK,5709,-57397
Udhagamandalam,,148704,BHOJARAJAN.M,BJP,48488,976,IBRAHIM.R,TVK,47512,-976,RAMACHANDRAN.B,INC,45658,-2830,RAGUPATHY.B,NTK,4641,-43847
Udumalpet,,203575,JAYAKUMAR M.,DMK,68549,2882,RADHAKRISHNAN K.,ADMK,65667,-2882,SANKAR K.,TVK,59831,-8718,RAM KUMAR M.,NTK,6702,-61847
Ulundurpet,,271002,VASANTHAVEL G R,DMK,98471,2277,KUMARAGURU R,ADMK,96194,-2277,SUDHAKAR M,TVK,66208,-32263,LOGESHWARI S,NTK,6525,-91946
Usilampatti,,224048,VIJAY. M,TVK,65743,1805,MAHENDRAN. I,ADMK,63938,-1805,SARAVANAKUMAR. T,INC,59465,-6278,AYYAPPAN. P,AIPTMMK,16620,-49123
Uthangarai,,205530,N ELAIYARAJA,TVK,70201,5198,T M TAMILSELVAM,ADMK,65003,-5198,R KUPPUSAMY,INC,60993,-9208,MEKALA,NTK,6629,-63572
Uthiramerur,,227765,MUNIRATHINAM.J,TVK,84917,14223,SUNDAR.K,DMK,70694,-14223,MAGESHKUMAR.P,PMK,62809,-22108,MARAM MASILAMANI.B.S,NTK,5783,-79134
Valparai,,150431,KUTTY (ALIAS) SUDHAKAR. A,DMK,54671,9371,DR. SRIDHARAN. A,TVK,45300,-9371,LEKSHMANA SINGH. D,ADMK,43728,-10943,UMADEVI. P,NTK,5256,-49415
Vandavasi,,191204,AMBETHKUMAR. S,DMK,63805,3333,RANI. P,ADMK,60472,-3333,UDHAYAKUMAR. M,TVK,58174,-5631,GANESH. R,NTK,5495,-58310
Vaniyambadi,,212534,SYED FAROOQ BASHA SSB,IUML,73181,2982,SYED BHURHANUDEEN,TVK,70199,-2982,SENDHIL KUMAR.G,ADMK,61055,-12126,MURUGESAN.G,NTK,4849,-68332
Vanur,,192119,GOWTHAM D,DMK,68873,7034,SURESH P,TVK,61839,-7034,MURUGAN P,ADMK,54193,-14680,KARIKALAN B,NTK,4697,-64176
Vasudevanallur,,189795,E. RAJA,DMK,63045,6583,ANANTHAN AYYASAMY,BJP,56462,-6583,R. AMUTHARANI,TVK,45862,-17183,ESAI MATHIVANAN,NTK,12856,-50189
Vedaranyam,,162216,MANIAN. O.S,ADMK,59172,7331,PUGAZHENDI. M,DMK,51841,-7331,KINGSLY GERALD. A,TVK,38347,-20825,KARTHICK. T,NTK,10396,-48776
Vedasandur,,226554,SAMINATHAN. T,DMK,84948,10063,PARAMASIVAM. V.P.B.,ADMK,74885,-10063,DR.NAKAJOTHI. N,TVK,56804,-28144,KHAJA HUSSAIN AHAMED. A,NTK,7095,-77853
Veerapandi,,235875,PALANIVEL. M.S,TVK,79907,4071,SRI BALAJI SUGUMAR. S,ADMK,75836,-4071,THARUN. A.K,DMK,69296,-10611,RAJESHKUMAR. S,NTK,6820,-73087
Velachery,,184815,KUMAR. R,TVK,80430,33305,ASHOK. M.K,ADMK,47125,-33305,AASSAN MAULAANA J.M.H,INC,45928,-34502,KEERTHANA. M,NTK,7697,-72733
Vellore,,190527,M.M.VINOTH KANNAN,TVK,73032,6777,P.KARTHIKEYAN,DMK,66255,-6777,S R K APPU,ADMK,45458,-27574,A.SONIYA,NTK,3793,-69239
Veppanahalli,,222608,SRINIVASAN.P.S,DMK,74691,138,MUNUSAMY.K.P,ADMK,74553,-138,SAMPANGI.S.R,TVK,63907,-10784,NAGARAJ.R,NTK,4519,-70172
Vikravandi,,209231,SIVAKUMAR C,PMK,69727,910,VIJAI VADIVEL A,TVK,68817,-910,ANNIYUR SIVA @ SIVASHANMUGAM A,DMK,60941,-8786,SUBHA CHANDRASEKARAN A,NTK,4979,-64748
Vilathikulam,,174814,MARKANDAYAN G V,DMK,58395,8228,P. KASIRAM,TVK,50167,-8228,R. SATHYA,ADMK,48879,-9516,BALAJI RAMACHANDRAN,NTK,11780,-46615
Vilavancode,,174927,PRAVEEN T.T,INC,70755,20970,MICHAEL KUMAR K,TVK,49785,-20970,VIJAYADHARANI S,BJP,45604,-25151,MARIA STELLA,NTK,6199,-64556
Villivakkam,,141452,AADHAV ARJUNA,TVK,66445,17302,KARTHIK MOHAN,DMK,49143,-17302,VIJAYAKUMAR S.R,ADMK,19338,-47107,ROSHINI S,NTK,4310,-62135
Villupuram,,215422,LAKSHMANAN R,DMK,72982,4119,MOHANRAJ N,TVK,68863,-4119,VIJAYASURESHBABU,ADMK,63808,-9174,ABINAYA PONNIVALAVAN,NTK,5786,-67196
Viralimalai,,203921,VIJAYABASKAR. C,ADMK,105773,62073,MURUGESAN. P,TVK,43700,-62073,CHELLAPANDIYAN. K.K,DMK,40397,-65376,SATHYALAKSHMI. K,NTK,9467,-96306
Virudhunagar,,167832,SELVAM P,TVK,63653,9391,VIJAYAPRABHAKAR,DMDK,54262,-9391,GANESAN V.G.,ADMK,34212,-29441,LAKSHMANAN,NTK,10120,-53533
Virugampakkam,,172831,SABARINATHAN.R,TVK,76092,27086,PRABHAKARA RAJA.A.M.V,DMK,49006,-27086,VIRUGAI V.N.RAVI,ADMK,38767,-37325,SANTHOSH,NTK,6056,-70036
Vridhachalam,,209186,PREMALLATHA VIJAYAKANT,DMDK,69351,2387,VIJAY.S,TVK,66964,-2387,DR.TAMIZHARASI.P,PMK,59791,-9560,ANANTHI DHANDAPANI,NTK,6047,-63304
Yercaud,,253592,USHARANI. P,ADMK,87772,2189,LAKSHMI JANARTHANAN. J,TVK,85583,-2189,REVATHI. T.M,DMK,68045,-19727,PALANISAMY. M,NTK,7601,-80171
